ResourceID,Grid ID,Grid Square Geometric Place Expression
e9daa549-e420-42ee-b2a8-3f5fb2f15b05,E33N24-33,
d36241b3-f081-410f-90d1-7f02a25f5700,E33N24-34,
6e4b6be5-6a61-45ff-974a-f949b2db5f16,E33N25-11,
b75c45bf-616c-4c66-912b-ba026a190944,E33N25-12,
3f787cd9-849f-40d7-a091-6fe38a1df37c,E33N25-13,
0125310b-914b-4481-a53d-6053341ba1d0,E33N25-14,
e5eb6830-eb31-4452-8e02-f5c7dee0cac1,E33N25-21,
ac03ad5c-30ab-4b84-9234-55c527cf9310,E33N25-22,
7eff3bee-be49-4270-8f5f-8bd40b0ce232,E33N25-23,
475b271e-9190-4470-b947-fd138cdf7c4f,E33N25-24,
25e1d7c9-de3c-4a01-9ac6-d61ba627fda5,E33N25-31,
0b7c8eea-f118-4b13-97b2-28381f969949,E33N25-32,
90ba3f0e-2f26-44e9-9494-e831bd79aeaf,E33N25-33,
0b6f3965-d010-4d27-a445-0e59020eaedc,E33N25-34,
8a79f09d-84e4-42d8-956b-d4ca920b44c3,E33N25-41,
36445205-ce2d-40b1-a30a-43708350661c,E33N25-42,
e6941ea7-3b2c-4976-a477-35c448b6e1c2,E33N25-43,
7da688e4-fd83-44bb-8d08-7b1c4a65339c,E33N25-44,
785a9abc-a46f-4f16-9808-8bd7ccf9af8a,E33N26-11,
f9b4ea23-93e9-4e6d-bf23-517a6a76e5dd,E33N26-12,
e0747c5e-6fd9-446f-bf94-6ee2cecd2a87,E33N26-13,
b3e9fe51-8dfd-4d45-9e47-7a531c9171ab,E33N26-14,
ca53d515-8804-4ff9-b50a-cae7a3d3980a,E33N26-21,
a0b8788f-fe04-4b41-bbc8-6eef48c155bb,E33N26-22,
09756071-4e60-4886-ac96-7df4214a63f6,E33N26-23,
ea416e76-44f1-4c87-945a-eb75b94c5ce1,E33N26-24,
b0700144-94ed-45d1-a698-b6b0778d2d69,E33N26-31,
c56505e2-3876-4471-b92b-58e88cce6858,E33N26-32,
2011b5a9-0b44-4485-9ce1-b03c62360b8c,E33N26-33,
a322ee0c-83cb-4301-8ec7-52bc83582bcc,E33N26-34,
0d486f3b-acd6-4c4d-961b-91002b80ed27,E33N26-41,
f34e31af-20ef-4802-8a1a-2cb09ca4d1d8,E33N27-11,
8a1b7fad-77cb-4c46-b8e2-8229f445e85a,E33N27-12,
d92e53a2-1c3c-48e1-b1e5-68750b16745c,E33N27-13,
a205cf5e-a6cc-44bd-aad2-d9b7077ee6d1,E33N27-14,
0dadf923-2ba7-4f86-b3b7-2c8b00b86c7b,E33N27-31,
623d964b-cc86-44a1-a04f-e21577d144b6,E33N27-33,
47898e41-f85e-4b79-b236-dfb6fa0ad59c,E33N28-11,
e1f10805-c710-4ef5-8df4-9ba5f258d867,E33N28-13,
1e4bb0f7-4cc6-48da-b3ab-9f388a76978d,E34N23-44,
88b2a6bd-156e-4f8e-96a5-0cf8b3e6665f,E34N24-11,
6a6800d7-93d3-42d0-90a9-fca9df64e34a,E34N24-12,
18ab227a-d290-49fd-85a0-59ccea79f077,E34N24-14,
fb40fd14-ec36-47e4-9b80-5ff2abeb809f,E34N24-21,
2b73e11b-2a0d-4f36-91bf-4cd58f32489c,E34N24-22,
b0ef3c79-ba5d-45bb-97f4-59a6a11d245f,E34N24-23,
b1a217cb-9d97-419f-995a-ef60354201f8,E34N24-24,
1b2f54fa-c6c9-4243-a60e-687d7107143f,E34N24-32,
3d153bd4-7c78-48ee-ae26-26094982f624,E34N24-33,
d4f6502d-b214-44c0-a6a0-6b040c51e506,E34N24-34,
ad946b10-12b1-4859-a0ff-55844827e443,E34N24-41,
3bf9f194-b90c-4fb1-99e2-c6f3e3e34f00,E34N24-42,
50242323-687e-4735-b44e-55b6ed792558,E34N24-43,
8dd7c451-2fa4-416d-8517-934d0072610b,W06N30_41,
85dec607-7211-4fc9-966d-8d1cc166fda5,E34N25-11,
f90f319d-c8c3-4caa-b62e-cb490437e60e,E34N25-12,
cd30fc68-f98e-4ed7-9a8d-380abb55779b,E34N25-13,
c729d737-81ff-4227-abf1-cbd401f549a9,E34N25-14,
29c41b8e-996a-48ec-b9af-c8d34d231d74,E34N25-21,
7a815d02-5c2f-43ed-81c5-01c199bf5efd,E34N25-22,
b8f51775-32ad-40ed-b0dc-75172d986095,E34N25-23,
b4f69efc-411a-4f98-b8c5-f6615fd4a359,E34N25-24,
c309ca63-ebe0-4503-bf84-604e195a3635,E34N25-34,
15dfe0f7-eefc-47ca-9380-fbf39bbdb143,E34N25-31,
918f78fe-d0cb-4666-8f00-e09c0af5285f,E34N25-33,
1ef2a319-0447-47ea-8790-ce99f83a3049,E34N25-41,
20138985-307e-46e1-b87f-db4d6ec082f1,E34N25-43,
7ca0f080-1d4c-4cfd-b5e7-a6fb1e696062,E34N26-11,
d07b7c36-7f1f-49be-a375-7b85bb1a505a,E34N26-13,
55d71a23-6dba-4b68-bb21-c0cbe092898a,E35N23-33,
2d5ff4a2-2f38-4bfc-b939-fc3f729b39a1,E35N23-34,
80ed22a8-073d-4ea8-abc9-2757a12fd048,E35N23-43,
2613cadd-dddf-402c-99fa-64d30b6a966b,E35N23-44,
5074a61f-7298-4eba-9e6a-a2b061f32e7a,E35N24-11,
10dca970-acdd-453e-8130-4caa05d2ddd1,E35N24-12,
95eef924-5378-4ca0-9fba-a3aca7761a3c,E35N24-13,
18c038af-7ef5-4999-9e3a-f53c3b75316f,E35N24-14,
94bd4e88-9615-42dc-af89-adad1f544c09,E35N24-21,
a5aacb16-c07a-4b44-a5cf-34c1336f046a,E35N24-31,
707d591e-a3ca-4887-82e4-ff1d0a524c13,E35N24-33,
2e80a58a-ea30-4b1b-9bc8-a82ca8f28743,E36N23-31,
b31544b8-efbc-41d8-a51e-5779075f9533,E44N14-33,
ceaedfe2-e28e-4b46-acab-4b015c6eee68,E44N15-11,
76bf1f7e-e8eb-48e4-9b25-43b9f63622d3,E44N15-13,
0c18ba5c-f881-444d-a28d-f0d94042463c,E44N15-14,
5ba7c901-b2c5-4d3c-8d7c-7c503a0314f0,E44N16-12,
5ca5c2ea-99f2-4cf3-b4f3-9f9ac27a0038,E44N15-24,
9fe3e387-e89b-428f-a729-8aea3cc31ae4,E44N15-31,
c9b0fa13-9ed2-458b-a2b8-529e3d70a3ac,E44N15-32,
364225bc-c8e0-446a-aaac-c70c6135e799,E44N15-41,
e59e5125-e1d5-4fe0-a244-c7dd87801ec5,E47N29-42,
10742014-53cf-4e36-8bd5-86ee780002fe,E33N24-43,
624c55c8-c8f7-4089-aeaa-532fe0dddd85,E32N24-42,
62bbb054-62ff-4f71-8d7e-7e64f258c0b3,E44N15-42,
a89f64c8-a46b-4701-a60f-a0b4cf016ddd,E33N24-44,
b80fb41e-262d-45ad-a0f8-777f9d835942,E48N16-24,
413b8095-7774-4e73-8470-7d5715d2ba65,E39N23-14,
0163196d-5a5b-43c2-82d9-234c3a713c7d,E42N16-22,
ebeb1013-7885-4766-8dde-d3cf9e0f5ee4,E43N15-41,
ca11d748-c6ee-4ea7-a0a1-ccaa9c33abf8,E43N15-44,
802be4a9-8a44-45d3-8692-ffa32bf2fc74,E43N16-22,
c7a5c82e-ad7b-4846-8e1d-902c61ad2ba2,E43N17-12,
1db0be0b-c631-4a26-8d26-9fe8a7d67652,E43N17-14,
75bc0e20-cf11-43f6-8ce6-b7093e47d5d0,E43N17-21,
00429d43-6b60-4a27-b722-0e12ef9b05d0,E44N15-23,
a27fc956-bc1d-4bd0-8753-245679724e22,E44N15-33,
bbb8d0d4-ad4d-42d5-9daa-35a00cce89e3,E44N16-13,
1234e1e3-89ea-4020-ae8e-f79bbd781865,E44N16-21,
bf8a66ba-cff6-4867-866e-5aa482dba634,E44N16-24,
0103d283-c0b1-4242-b1f0-2439025a4e50,E44N17-14,
24e8d1a7-1b34-467c-849f-35a7fa765ed3,E44N15-43,
1e55462c-c692-40eb-975f-7b8dbf9862cf,W06N30_42,
7bfb3641-d6c5-4342-a2b2-5f8cb92530fe,E44N15-44,
bc2597d7-249d-43dd-9421-6b5737098406,E44N16-11,
0938c01d-4f74-4105-b242-5f750dbc149e,W05N29-34,
c3c0bbbf-baf1-4f6a-b401-91db330b5a96,W05N30-12-000001,
b6b3ab2e-4b66-421d-bcc1-eb3cd9b02046,W05N30-12-000002,
28d97463-73ef-41bf-ace5-8a6e4b616264,W05N29_34,
6fb4b300-2891-407a-a49b-87ceeaf7b9d0,E21N32-41,
12d46437-beea-489e-b1af-475d3467165a,E14N32-23,
c1d015a7-9494-4561-b49c-59ddc8346de6,E20N32-42,
714ee45f-2e34-4184-8df3-5b7be652c845,E21N32-44,
1b27d6f2-f528-401f-a401-fc238a412eb4,E21N32-41_000007,
bb5634a9-e7b4-49cf-82b1-41db7cc0efa8,E42N15-21,
6fb96c7b-db18-426d-a194-93a9b67fe149,E42N15-22,
d97de6d6-30e6-495c-be46-70f9605755d9,E42N15-23,
6cc9d469-1d5b-4b55-a1ed-21fc8cfaac70,E42N15-24,
eb67acae-90ef-4edf-a780-0dee06f0ac91,E43N15-12,
209c19be-3726-4abe-8075-8027c09623ef,E43N15-13,
09d63c3f-20bd-496c-acfc-be44fbb68616,E43N15-14,
14205855-5d98-49f2-a09a-eddb39b633fc,E36N34-43,
bc62594f-2d50-4ac4-b7a2-2d9ec60f14e8,E21N32-41_000014,
6f7ce71a-4fe1-4092-b96a-f7dd99ca958a,E44N16-14,
94633fbb-9d8a-4270-87d1-55e1a789332c,E44N16-22,
8c242089-fc58-42d0-9f26-0a61131223b9,E44N16-23,
799d775f-36be-45fb-9d7f-43f1649af1a5,E45N15-13,
8dad5d59-36d4-443d-8047-5eff77279b6e,E44N16-31,
