ResourceID,Name
10042d5e-a953-4510-ac4b-291839bb1578,"Ullah, I."
1006fb0b-8bd0-48d9-a52b-7d76fab1bfba,"Goepp, M."
105bc9f6-3005-4ca4-a4bb-dc5196e30e6e,"Mallinson, M."
106033cd-fc47-4d09-91d3-1a0e9b3abec7,C. Gosset
108e74f5-e98e-427a-93a6-7b082f1a95b6,"Miles, S. B."
10d07c74-339d-4c65-9c90-263138a4d225,"Sedov, Alexander V."
110b6ac2-6db9-4cec-9e77-b11f8bf948f6,"Sala, M.; D'Andrea, M."
113ac45c-5f07-449a-a9a1-a134b6a86cf5,"O'Connell, J"
1160ad7d-4cfa-483a-8c32-468e3946ae8a,"O'Connell, J."
117f6dbe-c6fb-4e0b-b11e-d852bb849d0c,"Colledge, S."
11af28aa-6e59-40d1-b192-2ed431c778dc,"Bewley, R."
11b4d240-27b2-4dee-9980-22384918e0e0,"Clutton-Brock, J."
120b9e56-708c-4385-8790-c157941c6910,Khaled Zyout
12794cf2-0dfb-4b6f-bb66-7a14077c04a4,Hans G. Güterbock
12a7c0a6-bb06-4058-9c3b-6b8068b756d8,"Bron, Fr."
12b0cde7-00c6-4c7a-b758-26ad93659db6,"Bisheh, Gh."
12bb5aca-22cf-407b-a2fe-101bfdb1b502,"Al Tikriti, W.Y."
12c00da6-8258-4e3e-8c27-1ea407cf77d1,Robert Easton
12c52d54-352f-4d65-a096-6332cc1907d8,"Abdallah, Y.M."
130f84d1-142d-4a9b-a207-b56e82470957,EAMENA-CPF trainees
1315605b-37f5-4015-83e1-1655443a7e34,Helloula
137e27d9-d6ff-47d9-855d-7125af68a12e,"Kulemann-Ossen, S."
139f4965-9f2d-49fc-92d0-c5b2ab993603,Hanaa
13a47d52-862a-4b6b-9b06-732e7526e4d2,"Drewes, A.J."
13a6e731-3f88-456a-82d6-43e8e993f576,"Prioletta, A."
13b9fb32-5ec5-41ae-991e-4230145c75c0,"Abumoghli, I."
13c13ba0-3e01-419a-bb89-89047a6ba831,"Goiran, J-P."
13dde6ca-a4a6-488c-88e3-1af95c36f94d,"Zech, J."
13e174af-421b-4325-8577-85996567cd8a,"Littleton, J."
13ff9973-c512-44af-be48-121572ba4dcd,UNESCO World Heritage Centre
14b4e76a-c570-4bc4-9def-02e851329b9a,Abdallah Alsaket
14bc3075-6506-4772-b65b-a9c56e957b40,"Flohr, P."
14c676c2-ca4b-4c2e-9f25-6264791a7da0,"Kolb, B."
14d4e09a-7755-4b2b-b6c7-e7d95adcc14c,"Wissmann, H. von"
14f3078e-93a0-4452-b266-c33e0a93bf6e,"Bessac, J.-C."
152afe6d-6312-4fef-aab7-9c6e75d34ab4,"Baird, D."
152ba4b5-4003-41f1-9469-3d47bf03a238,"Penacho, S"
15570a69-7512-4dd3-a90c-bb503fa98fcc,"Macumber, P"
15586a86-438d-4311-a57e-4cd1c56f72fe,"Warren, C."
1599e13d-487f-47d2-aaca-62e4e41bc701,"Wilson, R. T. O."
15fff357-c035-45c0-8d34-2b856394aa20,"Myriantheos-Koufopoulou, M."
160afcc7-8ac9-4f29-b3a3-43915bd79ecf,"Killebrew, A."
160f6911-4dc2-4fb5-b07c-0e90f711cab8,"Yahiya, A.R."
16464852-7a84-4ab0-9d16-0e5ddd91d048,"Fakoury, L."
1655d8d1-11c3-4760-b563-0cd181371a3b,"Nestori, A."
1655fc4d-bf61-4c5c-9150-1dafc1df71f4,"Foerster, G."
1658550e-7f9d-47ba-80cc-647813615760,"Foley, L."
16970f81-e745-4170-a9f0-8c1ef2fe59b7,"Tuttle, C. A."
169a7a60-8729-42ea-b4f5-ffdf472eb5b8,"Bunimovitz, S."
16b051c3-611c-4105-ad74-889132a93214,"Ascalone, E."
16fedb9a-318e-456b-9e3f-46a99c6d5767,"Ynnilä, H."
